input_ids,labels
бессмысленный текст 2.5 числа,бессмысленный текст два с половиной числа
3.7% чего-то там.,три точка семь процентов чего-то там.
6.5 м^2,шесть с половиной метров квадратных
объем тела - 1.12 м^3,объем тела - один точка двенадцать метров кубических
25 шт. это величина,двадцать пять штук это величина
2.1 тонны массы,две точка один тонны массы
11 часов это 11 hours,одиннадцать часов это одиннадцать аурс
11% процентного соотношения,одиннадцать процентов процентного соотношения
в ряду 0.7 3/4,в ряду ноль точка семь трёх четвёртых
15.5 г,пятнадцать с половиной грамм
1 + 2 = 6,один плюс два равно шесть
1+ 4= 5,один плюс четыре равно пять
2*2=4,два умножить на два равно четыре
123 - 4343 = -232,сто двадцать три минус четыре тысячи сорок три равно минус двести тридцать два
123 / 23 = 34,сто двадцать три разделить на двадцать три равно тридцать четыре
7.9 - 5.3 = 2.6,семь точка девять минус пять точка три равно два точка шесть
5 * 7 = 35,пять умножить на семь равно тридцать пять
6/3=2,шесть разделить на три равно два
4/1=4,четыре разделить на один равно четыре
3^2=9,три в степени два равно девять
18/6=3,восемнадцать разделить на шесть равно три
3.5 + 7.3 = 10.8,три с половиной плюс семь точка три равно десять точка восемь
посчитай 4-1=3,посчитай четыре минус один равно три
я съел 43 шт. булок,я съел сорок три штуки булок
пошел в магазин за 3.2 тонны бетона,пошел в магазин за три точка два тонны бетона
в полдень 12 часов,в полдень двенадцать часов
должна остаться 22%,должна остаться двадцать два процента
поехали кататься на лыжах 0.8,поехали кататься на лыжах ноль точка восемь
knowledge of the connections between above-surface and below-surface," кноулэдж оф зе коннэкшинс битвин абов-сёрфэйс энд белоу-сёрфэйс"
biodiversity was considered a priority to be addressed at a second workshop," биодайвёрсити вос консидэрэд э приорити ту би адрэссед эт э сэконд воркшоп"
yield information on keystone species and interactions in ecosystem processes," йилд информэйшн он кейстоун спишэс энд интэракшенс ин экосистем процессэс"
